"Job","Clocked In","Clocked Out","Duration","Comment","Tags","Breaks","Adjustments","TotalTimeAdjustment","TotalEarningsAdjustment"
"Education/Reading/Class","3/27/17 10:00 AM","3/27/17 7:20 PM","9.33","","","","","",""
"Education/Reading/Class","3/28/17 8:51 AM","3/28/17 7:06 PM","10.25","","","","","",""
"Education/Reading/Class","3/29/17 9:50 AM","3/29/17 6:47 PM","8.95","","","","","",""
"Education/Reading/Class","3/31/17 10:11 AM","3/31/17 11:04 AM","0.88","","","","","",""
"Education/Reading/Class","3/31/17 12:10 PM","3/31/17 1:40 PM","1.5","","","","","",""
"Education/Reading/Class","3/31/17 3:30 PM","3/31/17 4:26 PM","0.93","","","","","",""
"Education/Reading/Class","3/31/17 5:02 PM","3/31/17 6:02 PM","1","","","","","",""
"Education/Reading/Class","3/31/17 6:24 PM","3/31/17 6:55 PM","0.52","","","","","",""
"Education/Reading/Class","4/1/17 8:00 AM","4/1/17 2:09 PM","6.15","","","","","",""
"Education/Reading/Class","4/2/17 9:00 AM","4/2/17 7:41 PM","10.68","","","","","",""
"Education/Reading/Class","4/3/17 9:10 AM","4/3/17 6:46 PM","9.6","","","","","",""
"Education/Reading/Class","4/4/17 8:54 AM","4/4/17 6:55 PM","10.02","","","","","",""
"Education/Reading/Class","4/5/17 8:30 AM","4/5/17 7:54 PM","11.4","","","","","",""
"Education/Reading/Class","4/6/17 7:55 AM","4/6/17 8:20 PM","12.42","","","","","",""
"Education/Reading/Class","4/7/17 8:00 AM","4/7/17 5:56 PM","9.93","","","","","",""
"Education/Reading/Class","4/8/17 8:30 AM","4/8/17 5:59 PM","9.48","","","","","",""
"Education/Reading/Class","4/9/17 10:02 AM","4/9/17 4:22 PM","6.33","","","","","",""
"Education/Reading/Class","4/10/17 10:00 AM","4/10/17 8:04 PM","10.07","","","","","",""
"Education/Reading/Class","4/11/17 8:00 AM","4/11/17 8:23 PM","12.38","","","","","",""
"Education/Reading/Class","4/12/17 8:30 AM","4/12/17 6:58 PM","10.47","","","","","",""
"Education/Reading/Class","4/12/17 8:12 PM","4/12/17 9:12 PM","1","","","","","",""
"Education/Reading/Class","4/13/17 7:55 AM","4/13/17 7:30 PM","11.58","","","","","",""
"Education/Reading/Class","4/14/17 9:40 AM","4/14/17 7:14 PM","9.57","","","","","",""
"Education/Reading/Class","4/15/17 8:04 AM","4/15/17 2:04 PM","6","","","","","",""
"Education/Reading/Class","4/15/17 4:00 PM","4/15/17 8:10 PM","4.17","","","","","",""
"Education/Reading/Class","4/15/17 8:20 PM","4/15/17 9:50 PM","1.5","","","","","",""
"Education/Reading/Class","4/15/17 9:55 PM","4/15/17 10:12 PM","0.28","","","","","",""
"Education/Reading/Class","4/16/17 10:03 AM","4/16/17 12:03 PM","2","","","","","",""
"Education/Reading/Class","4/17/17 8:25 AM","4/17/17 7:57 PM","11.53","","","","","",""
"Education/Reading/Class","4/18/17 7:55 AM","4/18/17 8:20 PM","12.42","","","","","",""
"Education/Reading/Class","4/18/17 8:50 PM","4/18/17 10:05 PM","1.25","","","","","",""
"Education/Reading/Class","4/19/17 8:14 AM","4/19/17 9:14 AM","1","","","","","",""
"Education/Reading/Class","4/19/17 8:00 AM","4/19/17 7:47 PM","11.78","","","","","",""
"Education/Reading/Class","4/20/17 8:00 AM","4/20/17 8:21 PM","12.35","","","","","",""
"Education/Reading/Class","4/21/17 8:45 AM","4/21/17 6:45 PM","10","","","","","",""
"Education/Reading/Class","4/22/17 9:15 AM","4/22/17 4:58 PM","7.72","","","","","",""
"Education/Reading/Class","4/23/17 9:12 AM","4/23/17 4:47 PM","7.58","","","","","",""
"Education/Reading/Class","4/23/17 6:21 PM","4/23/17 7:21 PM","1","","","","","",""
"Education/Reading/Class","4/24/17 8:19 AM","4/24/17 5:00 PM","8.68","","","","","",""
"Education/Reading/Class","4/24/17 6:28 PM","4/24/17 7:28 PM","1","","","","","",""
"Education/Reading/Class","4/24/17 7:45 PM","4/24/17 9:45 PM","2","","","","","",""
"Education/Reading/Class","4/25/17 7:58 AM","4/25/17 6:06 PM","10.13","","","","","",""
"Education/Reading/Class","4/26/17 8:35 AM","4/26/17 5:04 PM","8.48","","","","","",""
"Education/Reading/Class","4/26/17 7:15 PM","4/26/17 9:46 PM","2.52","","","","","",""
"Education/Reading/Class","4/27/17 7:59 AM","4/27/17 8:20 PM","12.35","","","","","",""
"Education/Reading/Class","4/27/17 8:30 PM","4/27/17 9:47 PM","1.28","","","","","",""
"Education/Reading/Class","4/28/17 8:30 AM","4/28/17 4:38 PM","8.13","","","","","",""
"Tau/Society Work","4/29/17 8:20 AM","4/29/17 1:02 PM","4.7","","","","","",""
"Education/Reading/Class","4/29/17 1:02 PM","4/29/17 6:23 PM","5.35","","","","","",""
"Education/Reading/Class","4/29/17 8:37 PM","4/29/17 9:37 PM","1","","","","","",""
"Education/Reading/Class","4/30/17 8:37 AM","4/30/17 5:34 PM","8.95","","","","","",""
"Education/Reading/Class","4/30/17 10:13 PM","5/1/17 12:14 AM","2.02","","","","","",""
"Education/Reading/Class","5/1/17 8:50 AM","5/1/17 4:51 PM","8.02","","","","","",""
"Education/Reading/Class","5/1/17 6:12 PM","5/1/17 9:40 PM","3.47","","","","","",""
"Education/Reading/Class","5/2/17 8:01 AM","5/2/17 8:20 PM","12.32","","","","","",""
"Education/Reading/Class","5/3/17 8:28 AM","5/3/17 7:16 PM","10.8","","","","","",""
"Education/Reading/Class","5/3/17 9:13 PM","5/3/17 9:42 PM","0.48","","","","","",""
"Education/Reading/Class","5/4/17 7:57 AM","5/4/17 8:28 PM","12.52","","","","","",""
"Tau/Society Work","5/4/17 9:20 PM","5/4/17 10:00 PM","0.67","","","","","",""
"Education/Reading/Class","5/5/17 8:36 AM","5/5/17 3:00 PM","6.4","","","","","",""
"Tau/Society Work","5/6/17 8:00 AM","5/6/17 12:13 PM","4.22","","","","","",""
"Education/Reading/Class","5/6/17 12:13 PM","5/6/17 4:14 PM","4.02","","","","","",""
"Education/Reading/Class","5/7/17 10:20 AM","5/7/17 6:52 PM","8.53","","","","","",""
"Education/Reading/Class","5/8/17 9:03 AM","5/8/17 7:16 PM","10.22","","","","","",""
"Education/Reading/Class","5/8/17 9:23 PM","5/8/17 10:23 PM","1","","","","","",""
"Education/Reading/Class","5/9/17 8:00 AM","5/9/17 8:32 PM","12.53","","","","","",""
"Education/Reading/Class","5/10/17 8:30 AM","5/10/17 6:55 PM","10.42","","","","","",""
"Education/Reading/Class","5/11/17 8:00 AM","5/11/17 8:20 PM","12.33","","","","","",""
"Education/Reading/Class","5/12/17 9:16 AM","5/12/17 9:06 PM","11.83","","","","","",""
"Education/Reading/Class","5/13/17 9:30 AM","5/13/17 5:19 PM","7.82","","","","","",""
"Education/Reading/Class","5/14/17 11:00 AM","5/14/17 12:24 PM","1.4","","","","","",""
"Tau/Society Work","5/14/17 12:40 PM","5/14/17 4:38 PM","3.97","","","","","",""
"Education/Reading/Class","5/14/17 4:17 PM","5/14/17 6:17 PM","2","","","","","",""
"Education/Reading/Class","5/15/17 9:01 AM","5/15/17 4:01 PM","7","","","","","",""
"Education/Reading/Class","5/16/17 8:02 AM","5/16/17 8:30 PM","12.47","","","","","",""
"Education/Reading/Class","5/17/17 8:50 AM","5/17/17 4:50 PM","8","","","","","",""
"Education/Reading/Class","5/17/17 7:53 PM","5/17/17 9:53 PM","2","","","","","",""
"Education/Reading/Class","5/18/17 8:00 AM","5/18/17 9:29 PM","13.48","","","","","",""
"Education/Reading/Class","5/19/17 9:55 AM","5/19/17 7:27 PM","9.53","","","","","",""
"Education/Reading/Class","5/19/17 8:30 PM","5/19/17 9:41 PM","1.18","","","","","",""
"Education/Reading/Class","5/20/17 9:15 AM","5/20/17 4:05 PM","6.83","","","","","",""
"Education/Reading/Class","5/21/17 9:20 AM","5/21/17 7:33 PM","10.22","","","","","",""
"Education/Reading/Class","5/21/17 8:48 PM","5/21/17 10:12 PM","1.4","","","","","",""
"Education/Reading/Class","5/22/17 8:25 AM","5/22/17 6:22 PM","9.95","","","","","",""
"Education/Reading/Class","5/22/17 7:53 PM","5/22/17 9:56 PM","2.05","","","","","",""
"Education/Reading/Class","5/23/17 8:00 AM","5/23/17 8:21 PM","12.35","","","","","",""
"Education/Reading/Class","5/23/17 9:19 PM","5/23/17 10:16 PM","0.95","","","","","",""
"Education/Reading/Class","5/24/17 8:40 AM","5/24/17 5:50 PM","9.17","","","","","",""
"Education/Reading/Class","5/24/17 8:50 PM","5/24/17 10:14 PM","1.4","","","","","",""
"Education/Reading/Class","5/25/17 8:00 AM","5/25/17 8:29 PM","12.48","","","","","",""
"Education/Reading/Class","5/26/17 9:04 AM","5/26/17 7:51 PM","10.78","","","","","",""
"Education/Reading/Class","5/28/17 9:05 AM","5/28/17 5:00 PM","7.92","","","","","",""
"Education/Reading/Class","5/29/17 11:30 AM","5/29/17 3:53 PM","4.38","","","","","",""
"Education/Reading/Class","5/29/17 5:50 PM","5/29/17 9:00 PM","3.17","","","","","",""
"Education/Reading/Class","5/29/17 10:45 PM","5/29/17 11:30 PM","0.75","","","","","",""
"Education/Reading/Class","5/30/17 8:00 AM","5/30/17 8:30 PM","12.5","","","","","",""
"Education/Reading/Class","5/30/17 9:01 PM","5/30/17 10:01 PM","1","","","","","",""
"Education/Reading/Class","5/31/17 8:25 AM","5/31/17 3:08 PM","6.72","","","","","",""
"Education/Reading/Class","6/1/17 8:00 AM","6/1/17 8:22 PM","12.37","","","","","",""
